week,open,close,ret_pct,regime,n_days
2023-07-28,19672.35,19646.05,-0.13,TREND UP,5
2023-08-04,19753.80,19517.00,-1.20,TREND UP,5
2023-08-11,19597.30,19428.30,-0.86,TREND DOWN,5
2023-08-18,19434.55,19310.15,-0.64,TREND DOWN,4
2023-08-25,19393.60,19265.80,-0.66,TREND DOWN,5
2023-09-01,19306.05,19435.30,0.67,CHOP,5
2023-09-08,19528.80,19819.95,1.49,CHOP,5
2023-09-15,19996.35,20192.35,0.98,RANGE,5
2023-09-22,20133.30,19674.25,-2.28,TREND UP,4
2023-09-29,19674.55,19638.30,-0.18,RANGE,5
2023-10-06,19528.75,19653.50,0.64,RANGE,4
2023-10-13,19512.35,19751.05,1.22,CHOP,5
2023-10-20,19731.75,19542.65,-0.96,CHOP,5
2023-10-27,19281.75,19047.25,-1.22,RANGE,4
2023-11-03,19140.90,19230.60,0.47,TREND DOWN,5
2023-11-10,19411.75,19425.35,0.07,RANGE,5
2023-11-17,19443.55,19731.80,1.48,RANGE,4
2023-11-24,19694.00,19794.70,0.51,RANGE,5
2023-12-01,19889.70,20267.90,1.90,RANGE,4
2023-12-08,20686.80,20969.40,1.37,TREND UP,5
