symbol,signal_date,tier,entry_date,entry_px,exit_px,exit_date,exit,hold_days,pnl_pct,open,stage_at_signal,rsi_at_signal
RELIANCE,2016-05-30,T1,2016-05-31,221.5,218.95,2016-05-31,stage,1,-1.15,False,EARLY-UP,47.4
RELIANCE,2016-09-26,T1,2016-09-27,255.33,245.14,2016-09-29,stop,3,-3.99,False,ALL-ALIGN BULL,70.6
RELIANCE,2016-09-30,T2,2016-10-03,248.47,241.65,2016-10-13,stage,7,-2.74,False,ALL-ALIGN BULL,57.5
RELIANCE,2016-12-09,T1,2016-12-12,233.27,247.42,2016-12-30,time,15,6.07,False,ALL-ALIGN BULL,58.0
RELIANCE,2017-02-22,T1,2017-02-23,277.41,297.32,2017-03-17,time,15,7.18,False,TOP-WARNING,84.2
RELIANCE,2017-03-29,T2,2017-03-30,286.87,320.59,2017-04-21,time,15,11.75,False,ALL-ALIGN BULL,56.5
RELIANCE,2017-05-10,T1,2017-05-11,311.81,307.24,2017-05-15,stage,3,-1.47,False,EARLY-UP,51.7
RELIANCE,2017-07-11,T1,2017-07-12,342.74,366.56,2017-08-01,time,15,6.95,False,TOP-WARNING,72.9
RELIANCE,2017-08-14,T1,2017-08-16,359.33,357.98,2017-08-16,stage,1,-0.38,False,EARLY-UP,52.8
RELIANCE,2017-08-17,T1,2017-08-18,357.5,361.63,2017-08-23,stage,4,1.16,False,EARLY-UP,51.6
RELIANCE,2017-09-13,T1,2017-09-14,391.24,373.69,2017-09-22,stop,7,-4.49,False,TOP-WARNING,72.2
RELIANCE,2017-10-13,T1,2017-10-16,401.85,426.31,2017-11-06,time,15,6.09,False,ALL-ALIGN BULL,68.3
RELIANCE,2017-11-16,T1,2017-11-17,420.11,425.51,2017-11-22,stage,4,1.29,False,EARLY-UP,52.9
RELIANCE,2017-11-17,T2,2017-11-20,414.28,425.51,2017-11-22,stage,3,2.71,False,ALL-ALIGN BULL,55.2
RELIANCE,2017-11-23,T1,2017-11-24,434.31,421.3,2017-11-30,stage,5,-3.0,False,ALL-ALIGN BULL,64.2
RELIANCE,2018-06-14,T1,2018-06-15,459.91,447.54,2018-06-26,stage,8,-2.69,False,TOP-WARNING,73.2
RELIANCE,2018-07-12,T1,2018-07-13,493.97,534.13,2018-08-02,time,15,8.13,False,ALL-ALIGN BULL,70.0
RELIANCE,2018-09-04,T2,2018-09-05,568.03,556.44,2018-09-18,stage,9,-2.04,False,ALL-ALIGN BULL,56.6
RELIANCE,2018-09-06,T2,2018-09-07,578.27,556.44,2018-09-18,stage,7,-3.78,False,ALL-ALIGN BULL,59.3
RELIANCE,2018-09-12,T2,2018-09-14,575.76,556.44,2018-09-18,stage,3,-3.36,False,ALL-ALIGN BULL,55.4
RELIANCE,2018-11-16,T1,2018-11-19,517.92,525.74,2018-11-19,stage,1,1.51,False,EARLY-UP,54.7
RELIANCE,2019-01-25,T1,2019-01-28,571.69,546.63,2019-01-30,stop,3,-4.38,False,TOP-WARNING,74.8
RELIANCE,2019-02-15,T2,2019-02-18,571.46,555.96,2019-02-19,stage,2,-2.71,False,ALL-ALIGN BULL,55.1
RELIANCE,2019-03-14,T1,2019-03-15,614.89,607.69,2019-04-08,time,15,-1.17,False,ALL-ALIGN BULL,71.5
RELIANCE,2019-05-03,T1,2019-05-06,639.12,614.2,2019-05-07,stage,2,-3.9,False,TOP-WARNING,62.7
RELIANCE,2019-08-13,T1,2019-08-14,596.14,569.97,2019-08-22,stage,6,-4.39,False,ALL-ALIGN BULL,59.2
RELIANCE,2019-08-23,T1,2019-08-26,591.57,582.82,2019-08-27,stage,2,-1.48,False,ALL-ALIGN BULL,56.5
RELIANCE,2019-10-18,T1,2019-10-22,651.46,652.74,2019-11-11,time,15,0.2,False,TOP-WARNING,74.2
RELIANCE,2020-04-07,T1,2020-04-08,539.46,568.62,2020-04-20,stage,7,5.41,False,EARLY-UP,54.6
RELIANCE,2020-04-24,T1,2020-04-27,655.58,664.91,2020-05-18,time,15,1.42,False,ALL-ALIGN BULL,67.6
